domain,available,confidence,methods
dnsexplorer.dev,True,100.0,"whois, dns, socket"
dnsexplorer.io,True,100.0,"whois, dns, socket"
dnsinspector.dev,True,100.0,"whois, dns, socket"
domainintel.dev,True,100.0,"whois, dns, socket"
domainnova.dev,True,100.0,"whois, dns, socket"
domainnova.io,True,100.0,"whois, dns, socket"
domainradar.dev,True,100.0,"whois, dns, socket"
domainscan.dev,True,100.0,"whois, dns, socket"
domainscope.dev,True,100.0,"whois, dns, socket"
domainscope.io,True,100.0,"whois, dns, socket"
domainsleuth.dev,True,100.0,"whois, dns, socket"
domainsleuth.io,True,100.0,"whois, dns, socket"
domainspark.dev,True,100.0,"whois, dns, socket"
domainspark.io,True,100.0,"whois, dns, socket"
ipdetective.dev,True,100.0,"whois, dns, socket"
ipexplorer.dev,True,100.0,"whois, dns, socket"
ipflow.dev,True,100.0,"whois, dns, socket"
iplocate.dev,True,100.0,"whois, dns, socket"
ipnexus.dev,True,100.0,"whois, dns, socket"
iptracker.dev,True,100.0,"whois, dns, socket"
ipzen.dev,True,100.0,"whois, dns, socket"
ipzen.io,True,100.0,"whois, dns, socket"
netfindr.dev,True,100.0,"whois, dns, socket"
netfindr.io,True,100.0,"whois, dns, socket"
netify.dev,True,100.0,"whois, dns, socket"
netinfopro.dev,True,100.0,"whois, dns, socket"
netinfopro.io,True,100.0,"whois, dns, socket"
netlookuphq.com,True,100.0,"dns, socket"
netlookuphq.dev,True,100.0,"whois, dns, socket"
netlookuphq.io,True,100.0,"whois, dns, socket"
netprime.dev,True,100.0,"whois, dns, socket"
netprime.io,True,100.0,"whois, dns, socket"
netregistry.dev,True,100.0,"whois, dns, socket"
netregistry.io,True,100.0,"whois, dns, socket"
nettracer.dev,True,100.0,"whois, dns, socket"
nettracer.io,True,100.0,"whois, dns, socket"
netvue.dev,True,100.0,"whois, dns, socket"
netvue.io,True,100.0,"whois, dns, socket"
netwhois.dev,True,100.0,"whois, dns, socket"
netwhois.io,True,100.0,"whois, dns, socket"
whoisai.dev,True,100.0,"whois, dns, socket"
whoishub.dev,True,100.0,"whois, dns, socket"
whoishub.io,True,100.0,"whois, dns, socket"
whoiswizard.com,True,66.66666666666666,"whois, dns, socket"
whoiswizard.dev,True,100.0,"whois, dns, socket"
whoiswizard.io,True,100.0,"whois, dns, socket"
dnsexplorer.com,False,0.0,"whois, dns, socket"
dnsinspector.com,False,0.0,"whois, dns, socket"
dnsinspector.io,False,0.0,"whois, dns, socket"
domainintel.com,False,0.0,"whois, dns, socket"
domainintel.io,False,0.0,"whois, dns, socket"
domainnova.com,False,0.0,"whois, dns, socket"
domainpulse.com,False,0.0,"whois, dns, socket"
domainpulse.dev,False,33.33333333333333,"whois, dns, socket"
domainpulse.io,False,0.0,"whois, dns, socket"
domainradar.com,False,0.0,"whois, dns, socket"
domainradar.io,False,0.0,"whois, dns, socket"
domainscan.com,False,0.0,"whois, dns, socket"
domainscan.io,False,0.0,"whois, dns, socket"
domainscope.com,False,0.0,"whois, dns, socket"
domainsleuth.com,False,0.0,"whois, dns, socket"
domainspark.com,False,0.0,"whois, dns, socket"
ipdetective.com,False,0.0,"whois, dns, socket"
ipdetective.io,False,0.0,"whois, dns, socket"
ipexplorer.com,False,0.0,"whois, dns, socket"
ipexplorer.io,False,0.0,"whois, dns, socket"
ipflow.com,False,0.0,"whois, dns, socket"
ipflow.io,False,0.0,"whois, dns, socket"
ipinsight.com,False,0.0,"whois, dns, socket"
ipinsight.dev,False,33.33333333333333,"whois, dns, socket"
ipinsight.io,False,0.0,"whois, dns, socket"
iplocate.com,False,0.0,"whois, dns, socket"
iplocate.io,False,0.0,"whois, dns, socket"
ipnexus.com,False,0.0,"whois, dns, socket"
ipnexus.io,False,0.0,"whois, dns, socket"
iptracker.com,False,0.0,"whois, dns, socket"
iptracker.io,False,0.0,"whois, dns, socket"
ipzen.com,False,0.0,"whois, dns, socket"
netfindr.com,False,0.0,"whois, dns, socket"
netify.com,False,0.0,"whois, dns, socket"
netify.io,False,0.0,"whois, dns, socket"
netinfopro.com,False,0.0,"whois, dns, socket"
netprime.com,False,0.0,"whois, dns, socket"
netregistry.com,False,0.0,"whois, dns, socket"
nettracer.com,False,0.0,"whois, dns, socket"
netvue.com,False,0.0,"whois, dns, socket"
netwhois.com,False,0.0,"whois, dns, socket"
whoisai.com,False,0.0,"whois, dns, socket"
whoisai.io,False,0.0,"whois, dns, socket"
whoishub.com,False,0.0,"whois, dns, socket"
